# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 1|Тиски слесарные настольные              |266|44-4-450| 275| 268| 262||norow|| HOBBI|</span></p><UL><LI>Тиски слесарные, основные элементы чугунные, вращающиеся детали из стали.<LI>Снабжены приспособлением для крепления к столу.<LI>Нерабочие поверхности окрашены для коррозионной стойкости.<LI>Рельефные губки.</UL><p><span class="addt">||/img/pic/instr/small/44-4-450.jpg|/img/pic/instr/big/44-4-450.jpg
 0|Тиски слесарные настольные ш.губок 50 мм|266|44-4-450| 275| 268| 262|
 0|Тиски слесарные настольные ш.губок 75 мм|266|44-4-475| 345| 337| 331|
 1|Тиски слесарные поворотные с наковальней|266|44-4-210|1825|1805|1785||norow|| HOBBI|</span></p><UL><LI>Тиски оснащены наковальней для проведения ударных слесарных операций.<LI>Тиски можно повернуть относительно основания, выбирая наиболее удобное положение, и закрепить.<LI>Рельефные губки.</UL><p><span class="addt">||/img/pic/instr/small/44-4-220.jpg|/img/pic/instr/big/44-4-220.jpg
 0|Тиски поворотные 100 мм   с наковальней |266|44-4-210|1825|1805|1785|
 0|Тиски поворотные 125 мм   с наковальней |266|44-4-212|1975|1955|1945|
 0|Тиски поворотные 150 мм   с наковальней |266|44-4-215|3590|3525|3490|
 0|Тиски поворотные 200 мм   с наковальней |266|44-4-220|5390|5330|5250|
#1|Тиски слесарные поворотные  80 мм       |266|TIG080  |1990|1990|1990||sale1|Тиски слесарные поворотные| (Глазов)|</span></p><UL><LI>Тиски поворотные изготовлены из стали С35Л.<LI>Поверхность окрашена для коррозионной стойкости.<LI>Рельефные губки.</UL><p><span class="addt">||/img/pic/instr/small/TIG.jpg|/img/pic/instr/big/jpg
#0|Тиски слесарные поворотные 100 мм       |266|TIG100  |2990|2990|2990|
#0|Тиски слесарные поворотные 125 мм       |266|TIG125  |5390|5250|5180|
#0|Тиски слесарные поворотные 140 мм       |266|TIG140  |3990|3990|3990|
#1|Тиски поворотные с наковальней 100 мм   |266|186235  |1390|1390|1390||sale1|Тиски слесарные поворотные с наковальней| SPARTA|</span></p><UL><LI>Тиски оснащены наковальней для проведения ударных слесарных операций.<LI>Тиски можно повернуть относительно основания, выбирая наиболее удобное положение, и закрепить.<LI>Поверхность окрашена для коррозионной стойкости.<LI>Рельефные губки.</UL><p><span class="addt">||/img/pic/instr/small/186235.jpg|/img/pic/instr/big/jpg
#0|Тиски поворотные с наковальней 125 мм   |266|186255  |2190|2050|1960|
#0|Тиски поворотные с наковальней 150 мм   |266|186275  |2990|2990|2990|
#0|Тиски поворотные с наковальней 200 мм   |266|186295  |5600|5450|5300|

# 51,cat51|Струбцины
 1|Струбцины F-образные             |51|        |325|312|298||norow|| HOBBI|</span></p><UL><LI>Стальная направляющая.<LI>Деревянная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/44-0-015.jpg|/img/pic/instr/big/44-0-015.jpg
 0|Струбцина F-образная 150 х 50 мм |51|44-0-015|129|125|121
 0|Струбцина F-образная 250 х 50 мм |51|44-0-025|149|144|141
 0|Струбцина F-образная 300 х 80 мм |51|44-0-308|215|205|197
 1|Струбцины G-образные             |51|        |325|312|298||norow|| HOBBI|||/img/pic/instr/small/44-1-075.jpg|/img/pic/instr/big/44-1-075.jpg
 0|Струбцина G-образная&numsp; 75 мм|51|44-1-075|129|124|121
 0|Струбцина G-образная       150 мм|51|44-1-150|345|335|325
 0|Струбцина G-образная       250 мм|51|44-1-250|765|752|738

# 277,cat277|Рубанок
 1|Рубанок-одинарник деревянный    240 х 60 мм|277|21125|325|312|298||norow||, ширина ножа 60 мм <span class=art>арт. 21125</span>|</span></p><UL><LI>Рубанок изготовлен из древесины лиственных пород и имеет лаковое покрытие.<LI>Нож выполнен из пружинной стали марки 65Г.</UL><p><span class="addt">||/img/pic/instr/small/21125.jpg|/img/pic/instr/big/21125.jpg
 0|Рубанок-одинарник деревянный    240 х 60 мм|277|21125|325|312|298|
 1|Рубанок-одинарник металлический 250 х 63 мм|277|21044|425|405|490||norow||, ширина ножа 50 мм <span class=art>арт. 21044</span>|</span></p><UL><LI>Рубанок изготовлен из стали марки Ст3, нож – из пружинной стали марки 65Г.<LI>Регулировочный механизм на винте с накаткой обеспечивает возможность точной настройки.<LI>Рукоятка изготовлена из фенопласта.</UL><p><span class="addt">||/img/pic/instr/small/21044.jpg|/img/pic/instr/big/21044.jpg
 0|Рубанок-одинарник металлический 250 х 63 мм|277|21044|425|405|490|
 1|Рубанок обдирочный для гипсокартона     |277|39-4-003|475|465|455||norow|| (рашпиль), 260 х 40 мм <span class=art>арт. 39-4-003</span>|||/img/pic/instr/small/39-4-003.jpg|/img/pic/instr/big/39-4-003.jpg
 0|Рубанок обдирочный для гипсокартона     |277|39-4-003|475|465|455|
#1|Рубанок                                   |277|879165|675|650|630||norow|Рубанок обдирочный для гипсокартона| MATRIX металлический, 250х42 мм, переставная ручка <span class=art>арт. 879165</span>|</span></p><UL><LI>Рубанок имеет крепления, позволяющие быстро и легко заменять использованные рабочие полотна.<LI>В конструкции полотна предусмотрены специальные отверстия для вывода стружки.<LI>Эта модель оснащена переставной пластмассовой рукояткой.</UL><p><span class="addt">||/img/pic/instr/small/rub_879165.jpg|/img/pic/instr/big/rub_879165.jpg
#0|Рубанок обдирочный металлический 250х42 мм|277|879165|675|650|630|
#1|Рубанок                                   |277|879085|550|520|495||norow|Рубанок обдирочный для гипсокартона| MATRIX пластмассовый, 250х42 мм <span class=art>арт. 879085</span>|</span></p><UL><LI>Рубанок имеет крепления, позволяющие быстро и легко заменять использованные рабочие полотна.<LI>В конструкции полотна предусмотрены специальные отверстия для вывода стружки.</UL><p><span class="addt">||/img/pic/instr/small/rub_879085.jpg|/img/pic/instr/big/rub_879085.jpg
#0|Рубанок обдирочный пластмассовый 250х42 мм|277|879085|550|520|495|
#1|Рубанок                                 |277|39-5-050|535|505|490||norow|Рубанок стальной| HOBBI, ширина ножа 50 мм <span class=art>арт. 39-5-050</span>|</span></p><UL><LI>Металлический корпус и две эргономичные пластиковые рукоятки.<LI>Лезвие из высококачественной усиленной инструментальной стали.<LI>Надежная система фиксации лезвия.</UL><p><span class="addt">||/img/pic/instr/small/rub_hobbi.jpg|/img/pic/instr/big/jpg
#0|Рубанок стальной HOBBI, ширина ножа 50мм|277|39-5-050|535|505|490|

# 195,cat195|Заклепочник
#1|Заклепочник литой                                                 |195|40401   | 885,00| 865,00| 855,00||norow|| 2.4 - 4.8&nbsp;мм GROSS <span class=art>арт. 40401</span>|||/img/pic/instr/small/ZAKLEPOCHNIK.jpg|/img/pic/instr/big/ZAKLEPOCHNIK.jpg
#0|Заклепочник литой GROSS                                           |195|40401   | 885,00| 865,00| 855,00|
#1|Заклепочник усиленный                                             |195|405385  | 790,00| 740,00| 715,00||norow|| 2.4 - 3.2 - 4.0 - 4.8&nbsp;мм SPARTA, 450 мм <span class=art>арт. 405385</span>|</span></p><UL><LI>Высокопроизводительный, удобный и надёжный инструмент с регулируемой передней насадкой, которая позволяет устанавливать оптимальные параметры для работы с заклёпками различных типов.<LI>Зажимной цанговый механизм и насадка специально для работы с усиленными вытяжными заклепками и рассчитаны на очень высокие нагрузки.<LI>Цельнометаллический корпус, удлиненные рычаги, эргономичные обрезиненные рукоятки.</UL><p><span class="addt">||/img/pic/instr/small/z_sparta.jpg|/img/pic/instr/big/jpg
#0|Заклепочник усиленный   SPARTA, 450 мм                            |195|405385  | 790,00| 740,00| 715,00|
#1|Заклепочник усиленный                                             |195|405405  |1095,00|1025,00| 965,00||norow|| 2.4 - 3.2 - 4.0 - 4.8 - 6.0&nbsp;мм SPARTA, 600 мм <span class=art>арт. 405405</span>|</span></p><UL><LI>Высокопроизводительный, удобный и мощный инструмент с регулируемой передней насадкой, которая позволяет устанавливать оптимальные параметры для работы с заклёпками различных типов.<LI>Зажимной цанговый механизм и насадка специально для работы с усиленными вытяжными заклепками и рассчитаны на самые высокие нагрузки.<LI>Цельнометаллический корпус, особо удлиненные рычаги, эргономичные обрезиненные рукоятки.</UL><p><span class="addt">||/img/pic/instr/small/z_405405.jpg|/img/pic/instr/big/jpg
#0|Заклепочник усиленный   SPARTA, 600 мм                            |195|405405  |1095,00|1025,00| 965,00|
#1|Заклепочник усиленный профессиональный                            |195|655202  |1595,00|1575,00|1545,00||norow|| 3.2 - 4.0 - 4.8&nbsp;мм STELGRIT <span class=art>арт. 655202</span>|</span></p><UL><LI>Высокопроизводительный инструмент для профессионального использования.<LI>Пружинный рычаг для выброса сердечника заклепок.<LI>Усиленная цанга, 3 быстросменных насадки.<LI>Рукоятка с виниловым покрытием.</UL><p><span class="addt">||/img/pic/instr/small/zak-st-655202.jpg|/img/pic/instr/big/zak-st-655202.jpg
 1|Заклепочники усиленные профессиональные                           |195|655202  | 625,00| 609,00| 595,00||norow|| STELGRIT|</span><span class="for">Для крепления стальных и алюминиевых вытяжных заклепок</span></p><UL><LI>Высокопроизводительный инструмент с большим ресурсом для профессионального использования. Губки и шарнирный механизм выполнены из высокоуглеродистых инструментальных сталей, закалены и имеют исключительную точность форм и подгонки друг к другу, что уменьшает их износ в зонах максимального напряжения.<LI>Пружинный рычаг для выброса сердечника заклепок.<LI>Усиленная цанга. Быстросменные насадки. Рукоятки с виниловым покрытием.</UL><p><span class="addt">||/img/pic/instr/small/zak-st-655202.jpg|/img/pic/instr/big/zak-st-655202.jpg
 0|Заклепочник STELGRIT, 3.2-4.0-4.8 мм                              |195|655200  | 768,00| 755,00| 744,00|
 0|Заклепочник поворотный (360°) STELGRIT, 270 мм, 2.4-3.2-4.0-4.8 мм|195|655201  |1298,00|1294,00|1244,00|
 0|Заклепочник силовой STELGRIT с удл. ручками 420 мм, 3.2-4.0-4.8 мм|195|655202  |1798,00|1769,00|1745,00|
 1|Заклепочник механический литой  250 мм                            |195|26-0-025| 289,00| 282,00| 269,00||norow|| HOBBY, 2.4 - 3.2 - 4.0 - 4.8&nbsp;мм <span class=art>арт. 26-0-025</span>|||/img/pic/instr/small/26-0-001.jpg|/img/pic/instr/big/26-0-001.jpg
 0|Заклепочник механический HOBBY, 250 мм                            |195|26-0-025| 289,00| 282,00| 269,00
 1|Заклепочник                                                       |195|26-0-008| 889,00| 868,00| 845,00||norow|| 3.2 - 4.0 - 4.8&nbsp;мм HOBBY, 530 мм (21&Prime;) <span class=art>арт. 26-0-008</span>|Металлический корпус. Силовой рычажный механизм. Рукоятки обрезинены.||/img/pic/instr/small/zak_26-0-010.png|/img/pic/instr/big/jpg
 0|Заклепочник HOBBY, 530 мм (21&Prime;)                             |195|26-0-008| 889,00| 868,00| 845,00|
#1|Заклепочник (литая головка)                                       |195|26-0-010| 698,00| 682,00| 675,00||norow|| 3.2 - 4.0 - 4.8&nbsp;мм HARDAX, 430 мм (17&Prime;) <span class=art>арт. 26-0-010</span>|Силовой рычажный механизм. Рукоятки обрезинены.||/img/pic/instr/small/zak_26-0-010_2.gif|/img/pic/instr/big/jpg
#0|Заклепочник HARDAX, 430 мм (17&Prime;)                            |195|26-0-010| 698,00| 682,00| 675,00|
#1|Заклепочник                                                       |195|40524   | 235,00| 225,00| 215,00||norow|| 2.4 - 4.8&nbsp;мм MATRIX, 250 мм <span class=art>арт. 40524</span>|||/img/pic/instr/small/Zaklepochnik MATRIX.jpg|/img/pic/instr/big/Zaklepochnik MATRIX.jpg
#0|Заклепочник            MATRIX, 250 мм                             |195|40524   | 235,00| 225,00| 215,00|

# 425,cat425|Заклепки
 1|Заклепка вытяжная комбинир. 3.2 &#215;&nbsp; 6,&nbsp; уп.      1000  шт.|425|Z1-3206|316,05|307,85|299,25||norow|Заклепки вытяжные| комбинированные (сталь/алюминий), оцинкованные|<br><b>Цена за упаковку.</b>||/img/pic/instr/small/ZAKLEPKI.jpg|/img/pic/instr/big/ZAKLEPKI.jpg
 0|Заклепка вытяжная комбинир. 3.2 &#215;&nbsp; 6,&nbsp; уп.      1000  шт.|425|Z1-3206|258,00|252,00|244,00|
 0|Заклепка вытяжная комбинир. 3.2 &#215;&nbsp; 8,&nbsp; уп.      1000  шт.|425|Z1-3208|288,00|281,00|275,00|
 0|Заклепка вытяжная комбинир. 3.2 &#215;      10,       уп.      1000  шт.|425|Z1-3210|298,00|291,00|283,00|
 0|Заклепка вытяжная комбинир. 4.0 &#215;&nbsp; 6,&nbsp; уп.      1000  шт.|425|Z1-4006|369,00|361,00|355,00||blkt2
 0|Заклепка вытяжная комбинир. 4.0 &#215;&nbsp; 8,&nbsp; уп.&#8199; 500 шт.|425|Z2-4008|369,00|361,00|355,00|
 0|Заклепка вытяжная комбинир. 4.0 &#215;&nbsp; 8,&nbsp; уп.      1000  шт.|425|Z1-4008|398,00|388,00|374,00|
 0|Заклепка вытяжная комбинир. 4.0 &#215;      10,       уп.      1000  шт.|425|Z1-4010|428,00|418,00|407,00|
 0|Заклепка вытяжная комбинир. 4.0 &#215;      12,       уп.      1000  шт.|425|Z1-4012|468,00|455,00|444,00|
 0|Заклепка вытяжная комбинир. 4.0 &#215;      16,       уп.&#8199; 500 шт.|425|Z2-4016|288,00|281,00|272,00|
 0|Заклепка вытяжная комбинир. 4.8 &#215;&nbsp; 8,&nbsp; уп.&#8199; 500 шт.|425|Z2-4808|348,00|341,00|333,00||blkt2
 0|Заклепка вытяжная комбинир. 4.8 &#215;      10,       уп.&#8199; 500 шт.|425|Z2-4810|348,00|341,00|333,00|
 0|Заклепка вытяжная комбинир. 4.8 &#215;      12,       уп.&#8199; 500 шт.|425|Z2-4812|369,00|361,00|355,00|
 0|Заклепка вытяжная комбинир. 4.8 &#215;      16,       уп.&#8199; 500 шт.|425|Z2-4816|428,00|418,00|407,00|
 0|Заклепка вытяжная комбинир. 4.8 &#215;      18,       уп.&#8199; 500 шт.|425|Z2-4818|598,00|583,00|555,00|
#0|Заклепка вытяжная комбинир. 4.0 &#215;      12,       уп.&#8199; 500 шт.|425|Z2-4012|309,60|301,30|299,25|
#0|Заклепка вытяжная комбинир. 4.8 &#215;      16,       уп.      1000  шт.|425|Z1-4816|967,50|943,20|917,70|
#0|Заклепка вытяжная комбинир. 4.8 &#215;      14,       уп.&#8199; 500 шт.|425|Z2-4814|345,00|330,00|320,00|

# 188,cat188|Степлер мебельный Скобы
#http://style.vseinstrumenti.ru/res/content/cats/image/skoby.jpg
#1|Степлер скобозабивной                        |188|TP-5525 | 339,00| 333,00| 325,00||norow lowp1 lowall|| MiLES (Индия) <span class=art>арт. TP-5525</span>|</span><span class="for">Для скоб <b>№53 (6-10 мм)</b></span></p><UL><LI>Облегченный <b>ударопрочный корпус</b> из АБС пластика с металлической ручкой.<LI>Отличается компактными размерами и отсутствием съемных частей.<LI>Оснащен удобными механизмами для <b>быстрой замены</b> скоб и для <b>легкого нажима</b> рукоятки при забивании скобы.<LI>В корпусе имеется <b>окошко-индикатор</b> для контроля остатка скоб.<LI>По данным проведенных испытаний производитель гарантирует <b>минимум 15 000 ударов</b> механизма степлера за время работы.</UL><p><span class="addt">||/img/pic/strhoz/small/TP-5525.jpg|/img/pic/strhoz/big/TP-5525.jpg
 1|Степлер скобозабивной                        |188|TP-5525 | 339,00| 333,00| 325,00||norow|| MiLES (Индия) <span class=art>арт. TP-5525</span>|</span><span class="for">Для скоб <b>№53 (6-10 мм)</b></span></p><UL><LI>Облегченный <b>ударопрочный корпус</b> из АБС пластика с металлической ручкой.<LI>Отличается компактными размерами и отсутствием съемных частей.<LI>Оснащен удобными механизмами для <b>быстрой замены</b> скоб и для <b>легкого нажима</b> рукоятки при забивании скобы.<LI>В корпусе имеется <b>окошко-индикатор</b> для контроля остатка скоб.<LI>По данным проведенных испытаний производитель гарантирует <b>минимум 15 000 ударов</b> механизма степлера за время работы.</UL><p><span class="addt">||/img/pic/strhoz/small/TP-5525.jpg|/img/pic/strhoz/big/TP-5525.jpg
 0|Степлер скобозабивной MiLES   для скоб тип 53|188|TP-5525 | 339,00| 333,00| 325,00
 1|Степлер металлический регулируемый           |188|642901  | 398,00| 392,00| 385,00||norow|| STELGRIT "All-Be-Fix" для скоб тип 53, 4—14&#8239;мм&nbsp;х&nbsp;0.7&#8239;мм <span class=art>арт. 642901</span>|</span><span class="for">Применяется по твердым и мягким породам древесины и ДСП</span></p><UL><LI>Металлический корпус.<LI>Рабочие части – высококачественная закаленная сталь.<LI>Пружинный ударный механизм с плавной регулировкой силы удара.<LI>Материал рукоятки - инструментальная сталь.||/img/pic/strhoz/small/642901.jpg|/img/pic/strhoz/big/642901.jpg
 0|Степлер металлический регулируемый STELGRIT  |188|642901  | 398,00| 392,00| 385,00
 1|Степлер мебельный                            |188|TP-5560 | 718,00| 708,00| 698,00||norow|| MiLES (Индия) <span class=art>арт. TP-5560</span>|</span></p><UL><LI>Легкий скобозабивной пистолет <b>"3&nbsp;в&nbsp;1"</b>.<LI>Прочный корпус из ABS пластика с мощным металлическим механизмом и металлической ручкой.<LI>Регулятор силы удара; индикатор наличия скоб; блокирование ручки для хранения.<LI><b>Скобы</b>:&nbsp;тип&nbsp;53,&nbsp;6—14&#8239;мм. <b>Гвозди</b>:&nbsp;12—14&#8239;мм. <b>Штифты</b>:&nbsp;14&#8239;мм.</UL><p><span class="addt">||/img/pic/strhoz/small/ART-TP5560.jpg|/img/pic/strhoz/big/ART-TP5560.jpg
 0|Степлер мебельный    MiLES    для скоб тип 53|188|TP-5560 | 718,00| 708,00| 698,00
 1|Степлер мебельный пластиковый                |188|40001   | 398,00| 385,00| 369,00||norow|| БАРС для скоб тип 53, 6—10&#8239;мм&nbsp;х&nbsp;0.7&#8239;мм <span class=art>арт. 40001</span>|</span></p><UL><LI>Корпус изготовлен из ударопрочного ABS пластика.<LI>Малый вес, компактность размеров, мягкий спусковой механизм.<LI>Металлическая ручка с режимом блокирования для хранения/транспортировки.<LI>Имеется окошко—индикатор наличия скоб.||/img/pic/strhoz/small/ART-40001.jpg|/img/pic/strhoz/big/ART-40001.jpg
 0|Степлер мебельный пласт. БАРС для скоб тип 53|188|40001   | 398,00| 385,00| 369,00
 1|Степлер скобозабивной                        |188|TS-5692 | 718,00| 708,00| 698,00||norow|| MiLES для скоб типа 140 (4-14 мм) <span class=art>арт. TS-5692</span>|</span></p><UL><LI>Неразборный стальной корпус.<LI>Особо надежный механизм: производитель гарантирует минимум 60000 ударов.<LI>Металлическая рукоятка с двухкомпонентным резино-пластиковым покрытием.<LI>Регулятор силы удара; индикатор наличия скоб; механизм легкого нажима рукоятки при забивании скобы.</UL><p><span class="addt">||/img/pic/strhoz/small/TS-5692.jpg|/img/pic/strhoz/big/TS-5692.jpg
 0|Степлер скобозабивной MiLES  для скоб тип 140|188|TS-5692 | 718,00| 708,00| 698,00
 1|Степлер "3 в 1"                              |188|TS-5600K| 798,00| 755,00| 742,00||norow|| MiLES (Индия): <nobr>скобы №140 6-14 мм</nobr>, <nobr>гвозди 14 мм,</nobr> <nobr>штифты 14 мм</nobr> <span class=art>арт. TS-5600K</span>|</span><span class="for">Для скрепления полиэтиленовых пленок, картона, ковролина и т.п.</span></p><UL><LI>Неразборный корпус из прочных стальных деталей имеет стильный дизайн без съемных частей.<LI>Металлический корпус и надежный механизм: производитель гарантирует минимум <b>60&thinsp;000</b> ударов.<LI>Металлическая рукоятка имеет <b>предохранитель</b> для удобства и безопасности пользователя.<LI>Удобный механизм для быстрой замены скоб, штифтов и гвоздей; окошко-индикатор для контроля их остатка в обойме; механизм регулировки силы удара.</UL><p><span class="addt">||/img/pic/strhoz/small/TS-5600K.jpg|/img/pic/strhoz/big/TS-5600K.jpg
 0|Степлер "3 в 1" MiLES, скобы №140, 60 000 уд.|188|TS-5600K| 798,00| 755,00| 742,00
 1|Степлер "3 в 1"                              |188|TS-5600N| 898,00| 868,00| 845,00||norow|| MiLES (Индия): <nobr>скобы №140 6-14 мм</nobr>, <nobr>гвозди 14 мм,</nobr> <nobr>штифты 14 мм</nobr> <span class=art>арт. TS-5600N</span>|</span></p><UL><LI>Неразборный корпус из прочных стальных деталей имеет стильный дизайн без съемных частей.<LI>Особо надежный механизм: производитель гарантирует минимум <b>100&thinsp;000</b> ударов.<LI>Металлическая рукоятка с двухкомпонентным резино-пластиковым покрытием имеет <b>предохранитель</b> для удобства и безопасности пользователя.<LI>Удобный механизм для быстрой замены скоб, штифтов и гвоздей; окошко-индикатор для контроля их остатка в обойме; механизм регулировки силы удара.</UL><p><span class="addt">||/img/pic/strhoz/small/TS-5600N.jpg|/img/pic/strhoz/big/TS-5600N.jpg
 0|Степлер "3 в 1" MiLES, скобы №140, 100 000 уд|188|TS-5600N| 898,00| 868,00| 845,00
 1|Скобы для степлера калёные, тип 53           |188|655001  |  22,00|  22,00|  22,00||norow|| STELGRIT (№3 по классификации MiLES)|</span></p><UL><LI>Ширина (расстояние между ногами): 11,3&#8239;мм.<LI>Толщина (поперек ширины): 0,7&#8239;мм.<LI>Размер (глубина, т.е. длина ног): от&nbsp;6 до&nbsp;14&#8239;мм.</UL><p><span class="addt"><b>Цена за упаковку 1000 шт</b>.||/img/pic/strhoz/small/655002_2.jpg|/img/pic/strhoz/big/655002_2.jpg
 0|Скобы калёные Stelgrit т.53 &#8199;6 х 0.7 мм|188|655001  |  23,25|  22,85|  21,65|
 0|Скобы калёные Stelgrit т.53 &#8199;8 х 0.7 мм|188|655002  |  26,95|  25,95|  24,65|
 0|Скобы калёные Stelgrit т.53       10 х 0.7 мм|188|655003  |  30,65|  29,95|  28,65|
 0|Скобы калёные Stelgrit т.53       12 х 0.7 мм|188|655004  |  34,85|  33,95|  32,95|
 0|Скобы калёные Stelgrit т.53       14 х 0.7 мм|188|655005  |  37,95|  36,95|  35,95|
 1|Скобы для степлера, тип 140                  |188|SM0614  |  94,00|  92,00|  88,00||norow|| MiLES (№4 по классификации MiLES)|</span></p><UL><LI>Ширина (расстояние между ногами): 10&#8239;мм (3/8&Prime;).<LI>Толщина (поперек ширины): 1.2&#8239;мм.<LI>Размер (глубина, т.е. длина ног): от&nbsp;6 до&nbsp;14&#8239;мм.<LI>Изготовлены из среднеуглеродистой стали. Закалены, заострены и оцинкованы.<LI>MiLES рекомендует выбирать размер скобы в 2.5 раза больше толщины скрепляемого материала.</UL><p><span class="addt"><b>Цена за упаковку 1250 шт.</b> (в полосках по 90 шт.).||/img/pic/strhoz/small/miles4.jpg|/img/pic/strhoz/big/miles4.jpg
 0|Скобы MiLES, тип 140, &#8199;6 мм            |188|SM0614  |  92,00|  92,00|  92,00
 0|Скобы MiLES, тип 140, &#8199;8 мм            |188|SM0814  |  98,00|  98,00|  98,00
 0|Скобы MiLES, тип 140,       10 мм            |188|SM1014  | 124,00| 124,00| 124,00
 0|Скобы MiLES, тип 140,       12 мм            |188|SM1214  | 139,00| 139,00| 139,00
 0|Скобы MiLES, тип 140,       14 мм            |188|SM1414  | 149,00| 149,00| 149,00
 1|Скобы для степлера калёные                   |188|        |  29,00|  26,00|  24,00|310|norow||, тип 53|Тип скобы 53 (№3 по классификации MiLES): толщина&nbsp;0,7&#8239;мм, ширина&nbsp;11,4&#8239;мм, глубина&nbsp;от&nbsp;4 до&nbsp;14&#8239;мм.<br><b>Цена за упаковку 1000 шт.</b>||/img/pic/strhoz/small/655002_2.jpg|/img/pic/strhoz/big/655002_2.jpg
 0|Скобы калёные       10 мм, MiLES             |188|SM1053  |  34,00|  34,00|  34,00|310
 0|Скобы калёные       10 мм, MATRIX            |188|41120   |  19,00|  19,00|  19,00|310
 0|Скобы калёные       12 мм, MiLES             |188|SM1253  |  34,00|  34,00|  34,00|310
 0|Скобы калёные       12 мм, MATRIX            |188|41122   |  29,00|  29,00|  29,00|310
 0|Скобы калёные       14 мм, MiLES             |188|SM1453  |  19,00|  19,00|  19,00|310
 0|Скобы калёные       14 мм, MATRIX            |188|41124   |  19,00|  19,00|  19,00|310
 0|Скобы усиленные &#8199;8 мм Gross            |188|41708   |  66,00|  66,00|  66,00|310
 0|Скобы усиленные       12 мм Gross            |188|41712   |  72,00|  72,00|  72,00|310
#0|Скобы калёные &#8199;6 мм, MATRIX            |188|41116   |  29.00|  27,00|  25,00|
#0|Скобы калёные &#8199;6 мм, Stelgrit          |188|655001  |  33,00|  31,00|  29,00|
#0|Скобы калёные &#8199;8 мм, MATRIX            |188|41118   |  34.00|  32,00|  30,00|
#0|Скобы калёные &#8199;8 мм, Stelgrit          |188|655002  |  42,00|  40,00|  38,00|
#0|Скобы калёные &#8199;8 мм, MiLES             |188|SM0853  |  42,00|  40,00|  38,00|
#0|Скобы калёные       10 мм, Stelgrit          |188|655003  |  59,00|  55,00|  52,00|
#0|Скобы калёные       12 мм, Stelgrit          |188|655004  |  66,00|  62,00|  58,00|
#1|Скобы для степлера, тип 53                   |188|41116   |  19,00|  19,00|  19,00||norow sale1|| MATRIX|Толщина&nbsp;0,7&#8239;мм, ширина&nbsp;11,3&#8239;мм, глубина&nbsp;от&nbsp;6 до&nbsp;14&#8239;мм.<br><br>Цена за упаковку 1000 шт.||/img/pic/strhoz/small/Scoby.jpg|/img/pic/strhoz/big/Scoby.jpg
#0|Скобы &#8199;6 мм                            |188|41116   |  19,00|  19,00|  19,00
#0|Скобы &#8199;8 мм                            |188|41118   |  19,00|  19,00|  19,00
#0|Скобы       10 мм                            |188|41120   |  19,00|  19,00|  19,00
#0|Скобы       12 мм                            |188|41122   |  25,00|  25,00|  25,00
#0|Скобы       14 мм                            |188|41124   |  27,00|  27,00|  27,00
#1|Степлер скобозабивной                        |188|TS-5525 | 335,00| 325,00| 310,00||norow|| MiLES для скоб типа 140 (6-10 мм) <span class=art>арт. TS-5525</span>|||/img/pic/strhoz/small/TS-5525.jpg|/img/pic/strhoz/big/TS-5525.jpg
#0|Степлер скобозабивной MiLES   для скоб тип 53|188|TS-5525 | 335,00| 325,00| 310,00
#1|Скобы для степлера усиленные, тип 53         |188|        |  58,00|  54,00|  51,00||norow|| GROSS|</span></p><UL><LI>Толщина&nbsp;0,75&#8239;мм, ширина&nbsp;11,4&#8239;мм, глубина&nbsp;от&nbsp;6 до&nbsp;14&#8239;мм.<LI>Изготовлены из стали высокого качества, оцинкованы для защиты от коррозии.<LI>Повышенные показатели твердости и прочности позволяют применять их с твердыми породами древесины.<LI>Упакованы в двусторонний блистер с замками многократного использования.</UL><p><span class="addt">Цена за упаковку 1000 шт.||/img/pic/strhoz/small/stap_s_g.jpg|/img/pic/strhoz/big/stap_s_g.jpg
#0|Скобы усиленные &#8199;6 мм                  |188|41706   |  58,00|  54,00|  51,00
