# 454|Смеси и клей строительные
# 455|Клей для плитки
 1|Клей для плитки "Ceresit" CM  9, 25 кг                |455|CM.09.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM  9 для внутренних работ <span class=art>арт. CM.09.25</span>|Предназначен для крепления керамической плитки и керамогранита на жестких минеральных основаниях.</span></p><UL><LI>Водостойкий, устойчив к сползанию плитки.<LI>Пригоден только для внутренних работ.<LI>Экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM09m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM09s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM09r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM09f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM0925.jpg|/img/pic/foam/big/CM0925.jpg
0|Эмаль ПФ-115 светло-коричневая  (ведро 25 кг)|304|25|кг|THR.25.BRA.2|69,98|68,98|67,98||
0|Эмаль ПФ-115 красная            (ведро 25 кг)|304|25|кг|THR.25.R    |69,98|68,98|67,98||
0|Эмаль ПФ-115 красно-коричневая  (ведро 25 кг)|304|25|кг|THR.25.RB   |69,98|68,98|67,98||
0|Эмаль ПФ-115 оранжевая          (ведро 25 кг)|304|25|кг|THR.25.OR   |69,98|68,98|67,98||
0|Эмаль ПФ-115 серая              (ведро 25 кг)|304|25|кг|THR.25.S    |69,98|68,98|67,98||
0|Эмаль ПФ-115 светло-серая       (ведро 25 кг)|304|25|кг|THR.25.S.2  |69,98|68,98|67,98||
0|Эмаль ПФ-115 синяя              (ведро 25 кг)|304|25|кг|THR.25.B    |69,98|68,98|67,98||
0|Эмаль ПФ-115 хаки               (ведро 25 кг)|304|25|кг|THR.25.X    |69,98|68,98|67,98||
0|Эмаль ПФ-115 черная             (ведро 25 кг)|304|25|кг|THR.25.BL   |69,98|68,98|76,45||

#1|Эмаль ПФ-115 белая                               |304|  |  |115-L20   |105|101| 99||norow|Эмаль| ПФ-115|</span></p><UL><LI>Алкидная пентафталевая эмаль ПФ-115 ГОСТ 6465-76 предназначается для окраски металлических, деревянных и других поверхностей, подвергающихся атмосферным воздействиям, и для окраски внутри помещений.<LI>Эмаль обеспечивает получение высокоглянцевого декоративного, светостойкого покрытия. Покрытие, состоящее из двух слоев эмали ПФ-115, нанесенных на подготовленную загрунтованную поверхность, в умеренном климате сохраняет защитные свойства в течение четырех лет. Пленка эмали устойчива к изменению температуры от минус 50°С до плюс 60°С.<LI><b>Расфасовка: ведро 20 <i>или</i> 25 кг.</b></UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/shmal/small/PF115-20-25h.jpg|/img/pic/shmal/big/PF115-20-25.jpg
#0|Эмаль ПФ-115 белая                  (ведро 25 кг)|304|25|кг|25BW      |129|122|119||
#0|Эмаль ПФ-115 желтая                 (ведро 25 кг)|304|25|кг|25BJ      |119|115|111||
#0|Эмаль ПФ-115 зеленая                (ведро 25 кг)|304|25|кг|25BG      |129|122|119||
#0|Эмаль ПФ-115 красная                (ведро 25 кг)|304|25|кг|25BR      |129|122|119||
#0|Эмаль ПФ-115 черная                 (ведро 20 кг)|304|20|кг|20BB      |116|112|109||blue
#0|Эмаль ПФ-115 синяя     (Альфа)      (ведро 20 кг)|304|20|кг|20.ABL    | 88| 85| 81||blue
#0|Эмаль ПФ-115 бежевая                (ведро 25 кг)|304|25|кг|25BH      |105|101| 99||
#0|Эмаль ПФ-115 голубая                (ведро 25 кг)|304|25|кг|25BBL     | 98| 95| 92||
#0|Эмаль ПФ-115 защитная               (ведро 25 кг)|304|25|кг|25BZ      | 98| 95| 92||zak
#0|Эмаль ПФ-115 коричневая             (ведро 25 кг)|304|25|кг|25BBR     | 98| 95| 92||
#0|Эмаль ПФ-115 оранжевая              (ведро 25 кг)|304|25|кг|25BO      |134|128|123||zak
#0|Эмаль ПФ-115 салатовая              (ведро 25 кг)|304|25|кг|25BG.2    |115|111|107||zak
#0|Эмаль ПФ-115 серая                  (ведро 25 кг)|304|25|кг|25BS      | 98| 95| 92||
#0|Эмаль ПФ-115 серая светлая          (ведро 25 кг)|304|25|кг|25BS.2    | 98| 95| 92||zak
#0|Эмаль ПФ-115 фисташковая            (ведро 20 кг)|304|20|кг|20BF      | 98| 95| 92||zak blue
#0|Эмаль ПФ-115 синяя                  (ведро 25 кг)|304|25|кг|25BBi     | 98| 95| 92||
#0|Эмаль ПФ-115 оранжевая (пр-во Лида) (ведро 20 кг)|304|20|кг|115-OR20  | 98| 95| 92||blue

# 312|Эмаль ПФ-115 (мелкая фасовка)
 1|Эмаль ПФ-115 белая                               |312|KR6.WI          |  6|  6|640||norow|Эмаль универсальная атмосферостойкая| ПФ-115, KRAFOR|</span></p><UL><LI>Алкидная пентафталевая эмаль ПФ-115 ГОСТ 6465-76 предназначается для окраски металлических, деревянных и других поверхностей, подвергающихся атмосферным воздействиям, и для окраски внутри помещений.<LI>Обладает хорошей укрывистостью и адгезией (сцеплением с поверхностью).<LI>Эмаль обеспечивает получение высокоглянцевого декоративного, светостойкого покрытия. Покрытие, состоящее из двух слоев эмали ПФ-115, нанесенных на подготовленную загрунтованную поверхность, в умеренном климате сохраняет защитные свойства в течение четырех лет. Пленка эмали устойчива к изменению температуры от минус 50°С до плюс 60°С.</UL><p><span class="addt"><b>Цена за 1 банку.</b>||/img/pic/shmal/small/KRAFOR_pf-115.jpg|/img/pic/shmal/big/KRAFOR_pf-115.jpg
 0|Эмаль ПФ-115 бежевая, 6 кг                       |312|KR6.BR          |866,25|872,00|872,00||
 0|Эмаль ПФ-115 зеленая, 6 кг                       |312|KR6.GR          |929,25|903,00|887,25||
 0|Эмаль ПФ-115 красная, 6 кг                       |312|KR6.RE          |960,75|939,75|913,50||
 0|Эмаль ПФ-115 черная, 6 кг                        |312|KR6.BB          |782,25|768,60|753,90||
#0|Эмаль ПФ-115 бежевая, 1.8 кг                     |312|KR18.BR         |278,25|270,90|260,40||
#0|Эмаль ПФ-115 белая, 1.9 кг                       |312|KR19.WI         |323,40|317,10|309,75||
#0|Эмаль ПФ-115 белая, 2.7 кг                       |312|KR27.WM         |456,75|446,25|430,50||
#0|Эмаль ПФ-115 голубая, 1.8 кг                     |312|KR18.BL         |267,75|257,25|246,75||
#0|Эмаль ПФ-115 голубая, 6 кг                       |312|KR6.BL          |824,25|803,25|792,75||
#0|Эмаль ПФ-115 желтая,  6 кг                       |312|KR6.YE          |971,25|939,75|924,00||
#0|Эмаль ПФ-115 красная, 1.8 кг                     |312|KR18.RE         |299,25|288,75|273,00||
#0|Эмаль ПФ-115 серая, 6 кг                         |312|KR6.GG          |834,75|813,75|800,10||
#0|Эмаль ПФ-115 синяя, 1.8 кг                       |312|KR18.SS         |303,45|296,10|287,70||
#0|Эмаль ПФ-115 синяя, 6 кг                         |312|KR6.SS          |866,25|837,90|808,50||
#0|Эмаль ПФ-115 черная, 1.8 кг                      |312|KR18.BB         |246,75|236,25|229,95||
#0|Эмаль ПФ-115 шоколад, 6 кг                       |312|KR6.CH          |887,25|876,75|845,25||
#0|Эмаль ПФ-115 шоколад, 1.8 кг                     |312|KR18.CH         |265|258|248||
#0|Эмаль ПФ-115 белая, 6 кг                         |312|KR6.WI          |975|945|925||
#0|Эмаль ПФ-115 зеленая, 1.8 кг                     |312|KR18.GR         |285|275|265||
#0|Эмаль ПФ-115 серая, 1.8 кг                       |312|KR18.GG         |255|245|235||

# 294|Краска (эмаль) МА-15 масляная
 1|Краска (эмаль) МА-15 масляная                    |294|KR6.WI          |  6|  6|640||norow|Краска (эмаль) масляная| МА-15, KRAFOR для внутренних и наружных отделочных работ|</span><span class="for">Для окраски металлических и деревянных изделий</span><span class="addt"><br><b>Цена за 1 банку.</b>||/img/pic/shmal/small/KRAFOR_ma-15.jpg|/img/pic/shmal/big/KRAFOR_ma-15.jpg
 0|Краска (эмаль) МА-15 масляная белая 2.5 кг       |294|M5K.W25         |295|285|275||
 0|Краска (эмаль) МА-15 масляная желтая 2.5 кг      |294|M5K.J25         |295|285|275||
 0|Краска (эмаль) МА-15 масляная серая 2.5 кг       |294|M5K.S25         |238|230|222||
 0|Краска (эмаль) МА-15 масляная сурик 3.5 кг       |294|M5K.S35         |349|333|225||blue
 0|Краска (эмаль) МА-15 масляная сурик 7.0 кг       |294|M5K.S70         |685|668|658||blue
 0|Краска (эмаль) МА-15 масляная черная 2.5 кг      |294|M5K.B25         |225|218|212||

# 306|Растворитель, Уайт-спирит
~1|Растворитель Р-646 (ГОСТ)                |306|      |455,00|445,00|425,00||norow |Растворитель| Р-646 (ГОСТ)|</span></p><UL><LI>Растворитель Р-646 ГОСТ 18188-72 используется для разбавления нитроэмалей, нитролаков, нитрошпатлевок, эпоксидных и глифталевых грунтовок и прочих лакокрасочных материалов; и для обезжиривания поверхностей.<LI>Расфасовка: канистра 5 или 10 л.</UL><p><span class="addt"><b>Цена за 1 канистру 10 л.</b>||/img/pic/shmal/small/646-2.jpg|/img/pic/shmal/big/646-2.jpg
~0|Растворитель Р-646,        канистра  1 л |306|646-01| 78,98| 77,98| 75,98|
~0|Растворитель Р-646,        канистра  5 л |306|646-05|369,00|362,00|356,00|
~0|Растворитель Р-646,        канистра 10 л |306|646-10|698,00|689,00|677,00|
~1|Уайт-спирит,                             |306|US05  |359,00|349,00|336,00||norow |Уайт-спирит| ТУ 0251-002-92509289-2011|</span></p><UL><LI>Уайт-спирит применяется для разбавления масляных красок, алкидных лакокрасочных материалов (эмалей, лаков и др.) и мастик на основе битума и каучука, а также для очистки и обезжиривания поверхностей перед нанесением <a href="/catalog/cat304.shtml">лакокрасочного</a> <a href="/catalog/cat305.shtml">материала</a>.<LI>Растворитель имеет низкую токсичность &mdash; допускается работать с ним в хорошо проветриваемом помещении; при попадании на кожу смывается теплой водой с <a href="/catalog/cat364.shtml">мылом</a>.</UL><p><span class="addt"><b>Цена за 1 канистру.</b>||/img/pic/shmal/small/white-sp2.jpg|/img/pic/shmal/big/white-sp2.jpg
~0|Уайт-спирит,               канистра  5 л |306|US05  |359,00|349,00|336,00|
~0|Уайт-спирит,               канистра 10 л |306|US10  |669,00|655,00|644,00|
#1|Уайт-спирит,               канистра 10 л     |306|US10  |520,00|500,00|490,00||norow |Уайт-спирит| Нефрас С4-150/200 ТУ 2388-026-18777143-09|</span></p><UL><LI>Нефтяной растворитель Нефрас С4-150/200 (заменитель Уайт-спирита) применяется для разбавления алкидных лакокрасочных материалов (эмалей, лаков и др.) и для очистки и обезжиривания поверхностей перед нанесением лакокрасочного материала.<LI>Растворитель имеет низкую токсичность и по воздействию на организм человека относится к малоопасным веществам 4-го класса опасности по ГОСТ 12.1.007.</UL><p><span class="addt"><b>Цена за 1 канистру 10 л.</b>||/img/pic/shmal/small/white-sp.jpg|/img/pic/shmal/big/white-sp.jpg
#0|Уайт-спирит Нефрас С4-150/200, канистра 10 л |306|US10  |520,00|500,00|490,00|

######################### Sale
# 484|Клей для обоев
 1|Клей для обоев                                        |484||Q.K.200   |243| 52||norow|||||/img/pic/foam/small/glue-foboev.jpg
 0|Клей для обоев универсальный КВОЛИТИ, 200 г           |484||Q.K.200   |243| 52||
 0|Клей для обоев               ФЛИЗИЛИН, 300 г          |484||F.300     | 25|122||
#1|Гидроизол. масса для подвалов и т. п. "Ceresit" CR 65 |463|CR.65     | 745|487|norow|Гидроизоляционная масса для подвалов, бассейнов, гаражей| "Ceresit" CR 65  <span class=art>арт. CR.65 </span>|Цементная смесь для устройства жестких водонепроницаемых покрытий пригодна для внутренних и наружных работ; морозостойка; обладает высокой паропроницаемостью; устойчива к солевой и щелочной агрессии; легко наносится кистью и шпателем; экологически безопасна. Может применяться:</span></p><UL><LI>Для наружной и внутренней гидроизоляции заглубленных и подземных сооружений.<LI>Для гидроизоляции небольших монолитных ванн крытых бассейнов и <b>резервуаров для воды хозяйственно-питьевого назначения</b>.<LI>Для гидроизоляции влажных помещений (ванных, душевых, туалетов, кухонь, промышленных помещений и т.д.) под плиточную облицовку.<LI>Для защиты градирен, гидротехнических и очистных сооружений, тоннелей и других бетонных конструкций от увлажнения и морозного разрушения.<LI>Для заполнения шпуров и пустот при инъектировании кладок старых зданий.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CR65m.pdf" target=_blank title="Документ PDF">Техническое описание</a><!-- , <a href="/img/pic/foam/pdf/CR65s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a  -->, <a href="/img/pic/foam/pdf/CR65r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CR65f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>, <a href="/img/pic/foam/pdf/CR65p.pdf" target=_blank title="Документ PDF"><b>Протокол санитарно-эпидемиологических лабораторных испытаний</b></a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CR0065.png|/img/pic/foam/big/CR0065.png
#0|Гидроизол. масса для подвалов и т. п. "Ceresit" CR 65 |463|CR.65     | 745|487|
#1|Гидроизоляция (мастика) эластичная    "Ceresit" CL 51 |463|CL.51     |1190|487|norow|Гидроизоляция (мастика) эластичная полимерная          | "Ceresit" CL 51  <span class=art>арт. CL.51 </span>|Однокомпонентная полимерная масса для устройства эластичных водонепроницаемых покрытий под плиточные облицовки.</span></p><UL><LI>Эластичная гидроизоляционная мастика CL 51 предназначена для устройства эластичных водонепроницаемых покрытий перед устройством плиточных облицовок в помещениях, подверженных периодическому увлажнению (ванных, душевых, туалетах, кухнях и т.д.).<LI>Готова к применению; легко наносится кистью, валиком или шпателем;<LI>Эластичная; перекрывает трещины раскрытием до 0,75 мм; может применяться на стяжках с подогревом;<LI>Не содержит растворителей; экологически безопасна.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CL51m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CL51s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CL51r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a><!--, <a href="/img/pic/foam/pdf/CL51f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a -->.</UL><p><span class="addt">Расфасовка: ведро  5 кг||/img/pic/foam/small/CL0051.png|/img/pic/foam/big/CL0051.png
#0|Гидроизоляция (мастика) эластичная    "Ceresit" CL 51 |463|CL.51     |1190|487|

============================== Это вставлять в CMS стр. "Редактирование/Удаление категории" в поле "Описание":
<div class="refbanner"><table><tr><td class="refbantab"><table cellpadding="4">
  <tr class="hdr"><td colspan="8"><a href="cat506.shtml">Смотрите также: Малярный и штукатурный инструмент</a></td></tr><tr>
    <td><a href="cat508.shtml"><img src="/img/pic/shmal/small/SER_42.jpg"></a></td>
    <td><a href="cat507.shtml"><img src="/img/pic/shmal/small/0110-71.jpg"></a></td>
    <td><a href="cat510.shtml"><img src="/img/pic/shmal/small/GLADILKA.jpg"></a></td>
    <td><a href="cat512.shtml"><img src="/img/pic/shmal/small/KELMA%20KSH.jpg"></a></td>
    <td><a href="cat511.shtml"><img src="/img/pic/shmal/small/TERKA%20POLIU---.jpg"></a></td>
    <td><a href="cat513.shtml"><img src="/img/pic/shmal/small/SPATELI%20MATRIX%20MASTER.jpg"></a></td>
    <td><a href="cat515.shtml"><img src="/img/pic/strhoz/small/0147-91.jpg"></a></td>
    <td><a href="cat506.shtml"><img src="/img/pic/instr/small/PRAVILO%20TRAPEZIA.jpg"></a></td>
  </tr><tr class="sub">
    <td><a href="cat508.shtml">Кисти</a></td>
    <td><a href="cat507.shtml">Валики</a></td>
    <td><a href="cat510.shtml">Гладилки</a></td>
    <td><a href="cat511.shtml">Кельмы</a></td>
    <td><a href="cat513.shtml">Тёрки</a></td>
    <td><a href="cat513.shtml">Шпатели</a></td>
    <td><a href="cat513.shtml">Малярные вёдра</a></td>
    <td><a href="cat506.shtml">и многое другое</a></td>
  </tr>
</table></td></tr></table></div>
